runtime,profile,controller,seed,training_seed,session_id,action,count,share
thread,lax-background,best_fixed,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s111,decrease_coverage,0,0.0
thread,lax-background,best_fixed,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s111,increase_sample,0,0.0
thread,lax-background,best_fixed,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s111,decrease_sample,0,0.0
thread,lax-background,best_fixed,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s111,decrease_freshness,0,0.0
thread,lax-background,best_fixed,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s111,increase_freshness,0,0.0
thread,lax-background,best_fixed,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s222,hold,64,1.0
thread,lax-background,best_fixed,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s222,increase_coverage,0,0.0
thread,lax-background,best_fixed,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s222,decrease_coverage,0,0.0
thread,lax-background,best_fixed,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s222,increase_sample,0,0.0
thread,lax-background,best_fixed,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s222,decrease_sample,0,0.0
thread,lax-background,best_fixed,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s222,decrease_freshness,0,0.0
thread,lax-background,best_fixed,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s222,increase_freshness,0,0.0
thread,lax-background,best_fixed,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s333,hold,64,1.0
thread,lax-background,best_fixed,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s333,increase_coverage,0,0.0
thread,lax-background,best_fixed,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s333,decrease_coverage,0,0.0
thread,lax-background,best_fixed,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s333,increase_sample,0,0.0
thread,lax-background,best_fixed,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s333,decrease_sample,0,0.0
thread,lax-background,best_fixed,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s333,decrease_freshness,0,0.0
