runtime,controller,seed_unit_count,mean_reward,ci95_low,ci95_high
process,best_fixed,5,0.5121395428782738,0.5020098390826622,0.5222692466738854
process,dqn,5,0.36991418603173976,0.33930381724057973,0.4005245548228998
process,ppo,5,0.3422829350838203,0.23547326808496716,0.44909260208267343
process,qlearning,5,0.14777487699661246,0.03125377803721732,0.2642959759560076
process,static,5,0.19112599838668065,0.17468522507950682,0.20756677169385448
process,threshold,5,-0.05542806694651241,-0.08520416477733857,-0.02565196911568625
thread,best_fixed,5,0.5269823028383668,0.5250840260714708,0.5288805796052628
thread,dqn,5,0.3983069502750857,0.35711248090508035,0.4395014196450911
thread,ppo,5,0.3608941593816963,0.29644447861283424,0.4253438401505583
thread,qlearning,5,0.1767929807576597,0.10565758834167083,0.24792837317364858
thread,static,5,0.22199660263921847,0.22177654898587723,0.2222166562925597
thread,threshold,5,0.006032709141255414,-0.00251596958504551,0.014581387867556339
