runtime,profile,controller,mean_reward,seed_std,seed_count
process,aggressive-incident,best_fixed,0.31936895377541397,0.033106168822667245,5
process,aggressive-incident,dqn,0.19709982246498972,0.06967989286295773,5
process,aggressive-incident,ppo,0.10009714862807395,0.18357265577469684,5
process,aggressive-incident,qlearning,0.005731817485339072,0.12236656165092274,5
process,aggressive-incident,static,0.06883473111129464,0.06727394496295092,5
process,aggressive-incident,threshold,-0.22899804501068316,0.11567107095059848,5
process,cost-sensitive,best_fixed,0.5882454857047064,0.0003207556034013913,5
process,cost-sensitive,dqn,0.453837313965772,0.04530605336769841,5
process,cost-sensitive,ppo,0.4050842209468263,0.15304178321230796,5
process,cost-sensitive,qlearning,0.2103257874816394,0.12356913760568373,5
process,cost-sensitive,static,0.24546048706881476,0.0007001587502676189,5
process,cost-sensitive,threshold,0.20576534799107976,0.0008318490967040755,5
process,lax-background,best_fixed,0.6175980773750239,0.007438743746315551,5
process,lax-background,dqn,0.4735087197264777,0.039214894802548216,5
process,lax-background,ppo,0.5149219653272136,0.1535717576775078,5
process,lax-background,qlearning,0.2558680396761906,0.05350056118501507,5
process,lax-background,static,0.24144666152349248,0.013103536706097449,5
process,lax-background,threshold,-0.0733056353368565,0.013195043485884569,5
process,short-burst,best_fixed,0.46072308618325686,0.010546729653386199,5
process,short-burst,dqn,0.38597086764917926,0.04430561915026416,5
process,short-burst,ppo,0.26591996994191186,0.10732846265679766,5
process,short-burst,qlearning,0.12147750849733814,0.08421526629082605,5
process,short-burst,static,0.17566348542742802,0.0012564910241494992,5
process,short-burst,threshold,-0.18208946661314934,0.0006836270589323227,5
process,standard-operations,best_fixed,0.5747621113529675,0.000712912501019251,5
process,standard-operations,dqn,0.3391542063522802,0.10445509695795906,5
process,standard-operations,ppo,0.4253913705750757,0.13390624359168982,5
process,standard-operations,qlearning,0.14547123184255523,0.12935981871576452,5
process,standard-operations,static,0.2242246268023734,0.0010780064836951998,5
process,standard-operations,threshold,0.0014874642370472316,0.0003266466490837716,5
thread,aggressive-incident,best_fixed,0.34821921480119145,0.00475700995256948,5
thread,aggressive-incident,dqn,0.2642191878123039,0.0583527121181946,5
thread,aggressive-incident,ppo,0.22028870616543603,0.08906583075274718,5
thread,aggressive-incident,qlearning,0.03334557995720612,0.09374534523160265,5
thread,aggressive-incident,static,0.1402031283028506,0.0004989259773652697,5
thread,aggressive-incident,threshold,-0.031315262055549596,0.023998148091492526,5
thread,cost-sensitive,best_fixed,0.5967028769005713,0.0052487326226012725,5
thread,cost-sensitive,dqn,0.4306629056623275,0.07352247011686878,5
thread,cost-sensitive,ppo,0.518851235247018,0.06292755422304784,5
thread,cost-sensitive,qlearning,0.29190849299056704,0.026023694115465987,5
thread,cost-sensitive,static,0.2729648045541847,9.119859964748144e-05,5
thread,cost-sensitive,threshold,0.24058553982847114,0.00035722347000304033,5
thread,lax-background,best_fixed,0.6363865932931009,0.00031876145431513627,5
thread,lax-background,dqn,0.5427094168752113,0.060532407503170405,5
thread,lax-background,ppo,0.46435186655884586,0.10990234625758927,5
thread,lax-background,qlearning,0.24677929225183576,0.074829907872655,5
thread,lax-background,static,0.2687720423180787,0.0002759190105507835,5
thread,lax-background,threshold,-0.03759416142239007,3.725476085115825e-05,5
thread,short-burst,best_fixed,0.47263175087452813,0.0013201295981946244,5
thread,short-burst,dqn,0.34658352534629755,0.054737098890705216,5
thread,short-burst,ppo,0.23238981420288723,0.03816290553948057,5
thread,short-burst,qlearning,0.09960428379045819,0.09001174904180573,5
thread,short-burst,static,0.1796603510363372,0.0002713508521789123,5
thread,short-burst,threshold,-0.16799727533801362,0.013053481556202881,5
thread,standard-operations,best_fixed,0.5809710783224423,0.0007843899501654974,5
thread,standard-operations,dqn,0.40735971567928847,0.09488546796051772,5
thread,standard-operations,ppo,0.3685891747342941,0.1650256375470791,5
thread,standard-operations,qlearning,0.21232725479823142,0.09423587816276018,5
thread,standard-operations,static,0.24838268698464128,0.00023164261427983766,5
thread,standard-operations,threshold,0.026484704693759215,0.0005511851042393605,5
