runtime,profile,controller,seed,training_seed,session_id,iteration,action,reward,cumulative_reward,coverage_quality_position,sample_quality_position,freshness_quality_position,cpu_percent,memory_percent,input_multiplier
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,28,hold,0.29207324655162314,7.93910123597396,0.4999999999999999,0.5,0.5,1.15,13.45,12.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,29,hold,0.29505381191802293,8.234155047891983,0.4999999999999999,0.5,0.5,0.2,13.45,12.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,30,hold,0.2950534997523043,8.529208547644288,0.4999999999999999,0.5,0.5,0.2,13.45,12.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,31,hold,0.2941122292175764,8.823320776861864,0.4999999999999999,0.5,0.5,0.5,13.45,12.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,32,hold,0.2930144236457781,9.116335200507642,0.4999999999999999,0.5,0.5,0.85,13.45,12.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,33,hold,0.2950532557970569,9.4113884563047,0.4999999999999999,0.5,0.5,0.2,13.45,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,34,hold,0.2072886596305545,9.618677115935254,0.4999999999999999,0.5,0.5,27.849999999999998,13.8,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,35,hold,0.20156506910592306,9.820242185041177,0.4999999999999999,0.5,0.5,28.5,15.05,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,36,hold,0.19864824936886286,10.018890434410041,0.4999999999999999,0.5,0.5,28.349999999999998,16.2,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,37,hold,0.19389754363848363,10.212787978048524,0.4999999999999999,0.5,0.5,28.6,17.55,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,38,hold,0.19242526939327734,10.405213247441802,0.4999999999999999,0.5,0.5,28.55,18.1,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,39,hold,0.19322150906505095,10.598434756506853,0.4999999999999999,0.5,0.5,28.25,18.15,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,40,hold,0.19407225268465164,10.792507009191505,0.4999999999999999,0.5,0.5,28.45,17.65,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,41,hold,0.2041155300351725,10.996622539226678,0.4999999999999999,0.5,0.5,25.25,17.65,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,42,hold,0.20395563942915126,11.20057817865583,0.4999999999999999,0.5,0.5,25.3,17.65,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,43,hold,0.20411260148842117,11.404690780144252,0.4999999999999999,0.5,0.5,25.25,17.65,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,44,hold,0.20443647328861522,11.609127253432867,0.4999999999999999,0.5,0.5,25.1,17.7,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,45,hold,0.21751608314741525,11.826643336580283,0.4999999999999999,0.5,0.5,25.15,13.2,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,46,hold,0.2727419588878063,12.099385295468089,0.4999999999999999,0.5,0.5,0.95,13.2,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,47,hold,0.2727419588878063,12.372127254355895,0.4999999999999999,0.5,0.5,0.3,13.2,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,48,hold,0.2727419588878063,12.644869213243702,0.4999999999999999,0.5,0.5,0.3,13.2,48.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,49,hold,0.2727419588878063,12.917611172131508,0.4999999999999999,0.5,0.5,0.4,13.2,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,50,hold,0.20985599858687135,13.12746717071838,0.4999999999999999,0.5,0.5,27.450000000000003,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,51,hold,0.2738573693816788,13.401324540100058,0.4999999999999999,0.5,0.5,7.050000000000001,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,52,hold,0.2947201252719154,13.696044665371973,0.4999999999999999,0.5,0.5,0.4,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,53,hold,0.2953477062535049,13.991392371625478,0.4999999999999999,0.5,0.5,0.2,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,54,hold,0.29487613446600347,14.286268506091481,0.4999999999999999,0.5,0.5,0.35,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,55,hold,0.29315081729669845,14.57941932338818,0.4999999999999999,0.5,0.5,0.9,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,56,hold,0.2953477833698259,14.874767106758005,0.4999999999999999,0.5,0.5,0.2,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,57,hold,0.29534794360117833,15.170115050359184,0.4999999999999999,0.5,0.5,0.2,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,58,hold,0.29393595054760246,15.464051000906787,0.4999999999999999,0.5,0.5,0.65,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,59,hold,0.29393595772479364,15.75798695863158,0.4999999999999999,0.5,0.5,0.65,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,60,hold,0.2953478693619991,16.05333482799358,0.4999999999999999,0.5,0.5,0.2,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,61,hold,0.2947198958512379,16.348054723844818,0.4999999999999999,0.5,0.5,0.4,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,62,hold,0.29471982619311654,16.642774550037934,0.4999999999999999,0.5,0.5,0.4,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,63,hold,0.29299442821730126,16.935768978255236,0.4999999999999999,0.5,0.5,0.95,13.35,6.0
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,64,hold,0.2953473862189504,17.231116364474186,0.4999999999999999,0.5,0.5,0.2,13.35,6.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,1,hold,0.2840957484991675,0.2840957484991675,0.4999999999999999,0.5,0.5,3.9,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,2,hold,0.2293579110832075,0.513453659582375,0.4999999999999999,0.5,0.5,21.35,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,3,hold,0.2936167649976784,0.8070704245800534,0.4999999999999999,0.5,0.5,0.85,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,4,hold,0.2953372837663577,1.1024077083464112,0.4999999999999999,0.5,0.5,0.3,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,5,hold,0.29502075795325444,1.3974284662996657,0.4999999999999999,0.5,0.5,0.4,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,6,hold,0.2942352553502713,1.6916637216499368,0.4999999999999999,0.5,0.5,0.65,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,7,hold,0.2928178948054363,1.9844816164553731,0.4999999999999999,0.5,0.5,1.1,13.25,3.0
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,8,hold,0.29501408970673726,2.2794957061621104,0.4999999999999999,0.5,0.5,0.4,13.25,3.0
