runtime,profile,controller,seed,training_seed,session_id,steps,reward_total,reward_per_step,spatial_fidelity_mean,hotspot_recall_mean,service_duty_mean_percent,violation_events,cpu_events,memory_events,coverage_events,sample_events,freshness_events,cpu_p95,cpu_max,memory_p95,memory_max,bandwidth_p95_mbps
thread,lax-background,dqn,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s333,64,32.04307682433681,0.5006730753802626,0.9009839113642991,0.8677212566053247,3.4865836202781186,64,0,0,64,0,0,50.38999999999999,56.4,30.0,30.0,0.14813350445234108
thread,lax-background,dqn,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s444,64,39.06785201470215,0.610435187729721,0.8984745087651566,0.8622168314389528,2.526141969067113,64,0,0,64,0,0,50.2,50.5,30.0,30.0,0.14770142205272413
thread,lax-background,dqn,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_dqn_s555,64,30.131971645545672,0.4708120569616511,0.8998856765034213,0.8658600027109434,2.4564360837945105,64,0,0,64,0,0,50.5,56.1,30.0,30.0,0.1490123266278735
thread,lax-background,ppo,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s111,64,36.56580546590962,0.5713407104048378,0.8999830968038519,0.8649822147866011,2.127539220259546,64,0,0,64,0,0,50.2,50.8,32.6,32.6,0.15039770466985036
thread,lax-background,ppo,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s222,64,20.930389748275534,0.3270373398168052,0.8998856765034213,0.8634461639015015,1.1305262021331905,64,0,0,64,0,0,50.0,50.5,30.0,30.0,0.1477918072756389
thread,lax-background,ppo,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s333,64,36.64951754458992,0.5726487116342175,0.8999396865497588,0.8654221735685002,2.140144238981116,64,0,0,64,0,0,50.245,51.3,30.0,30.0,0.1482518180488664
thread,lax-background,ppo,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s444,64,29.80108275963093,0.4656419181192333,0.8998856765034213,0.8634461639015015,1.7161780143751255,64,0,0,64,0,0,50.245,51.2,30.0,30.0,0.14790975653173066
thread,lax-background,ppo,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_ppo_s555,64,24.645801780424673,0.3850906528191355,0.8865142171502779,0.8384490736686923,1.727141131379197,64,0,0,64,0,0,50.0,50.7,30.0,30.0,0.14818671387371965
thread,standard-operations,static,111,11,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s111,64,15.898922923705259,0.24842067068289467,0.8678797588437875,0.829751860490479,4.0037980029191935,0,0,0,0,0,0,50.0,50.8,30.0,30.0,0.1479411611658515
thread,standard-operations,static,222,22,argos_mdpv5_thread_generalization_evaluate_standard-operations_static_s222,64,15.874314631887573,0.24803616612324333,0.8678797588437875,0.829751860490479,3.988090198506753,0,0,0,0,0,0,50.089999999999996,50.7,33.045,33.1,0.14778685038305675
