runtime,controller,baseline,seed,controller_reward,baseline_reward,reward_delta
process,ppo,static,222,0.38618710675011514,0.18552608223948075,0.2006610245106344
process,ppo,static,333,0.33785211703203777,0.1760909268229365,0.16176119020910126
process,ppo,static,444,0.2250439011022456,0.20710505410412888,0.01793884699811671
process,ppo,static,555,0.307400030180636,0.20288015948835847,0.10451987069227753
process,static,threshold,111,0.1840277692784987,-0.06296272746446985,0.24699049674296855
process,static,threshold,222,0.18552608223948075,-0.01429437879079692,0.19982046103027767
process,static,threshold,333,0.1760909268229365,-0.07110398533906095,0.24719491216199746
process,static,threshold,444,0.20710505410412888,-0.05586874703035029,0.26297380113447916
process,static,threshold,555,0.20288015948835847,-0.07291049610788405,0.2757906555962425
process,best_fixed,threshold,111,0.5211806842504441,-0.06296272746446985,0.5841434117149139
process,best_fixed,threshold,222,0.5192523569916367,-0.01429437879079692,0.5335467357824336
process,best_fixed,threshold,333,0.506311415823953,-0.07110398533906095,0.5774154011630139
process,best_fixed,threshold,444,0.511804156129527,-0.05586874703035029,0.5676729031598773
process,best_fixed,threshold,555,0.5021491011958078,-0.07291049610788405,0.5750595973036918
process,qlearning,threshold,111,0.006726049374974114,-0.06296272746446985,0.06968877683944397
process,qlearning,threshold,222,0.1859799651912309,-0.01429437879079692,0.2002743439820278
process,qlearning,threshold,333,0.10809511750450743,-0.07110398533906095,0.17919910284356838
process,qlearning,threshold,444,0.25175091814175216,-0.05586874703035029,0.30761966517210243
process,qlearning,threshold,555,0.18632233477059781,-0.07291049610788405,0.25923283087848187
process,dqn,threshold,111,0.3969154951238895,-0.06296272746446985,0.45987822258835936
process,dqn,threshold,222,0.35557166782619903,-0.01429437879079692,0.36986604661699596
process,dqn,threshold,333,0.3565854957411536,-0.07110398533906095,0.42768948108021454
process,dqn,threshold,444,0.34457458237041294,-0.05586874703035029,0.4004433294007632
process,dqn,threshold,555,0.39592368909704373,-0.07291049610788405,0.4688341852049278
process,ppo,threshold,111,0.4549315203540668,-0.06296272746446985,0.5178942478185367
process,ppo,threshold,222,0.38618710675011514,-0.01429437879079692,0.40048148554091206
process,ppo,threshold,333,0.33785211703203777,-0.07110398533906095,0.4089561023710987
