run_id,scenario,variant,live_seed,action,count,share
concurrency_static_train11_live1001,concurrency,static,1001,hold,2570,1.0
concurrency_static_train11_live1001,concurrency,static,1001,increase_coverage,0,0.0
concurrency_static_train11_live1001,concurrency,static,1001,decrease_coverage,0,0.0
concurrency_static_train11_live1001,concurrency,static,1001,increase_sample,0,0.0
concurrency_static_train11_live1001,concurrency,static,1001,decrease_sample,0,0.0
concurrency_static_train11_live1001,concurrency,static,1001,decrease_freshness,0,0.0
concurrency_static_train11_live1001,concurrency,static,1001,increase_freshness,0,0.0
concurrency_static_train22_live1002,concurrency,static,1002,hold,2605,1.0
concurrency_static_train22_live1002,concurrency,static,1002,increase_coverage,0,0.0
concurrency_static_train22_live1002,concurrency,static,1002,decrease_coverage,0,0.0
concurrency_static_train22_live1002,concurrency,static,1002,increase_sample,0,0.0
concurrency_static_train22_live1002,concurrency,static,1002,decrease_sample,0,0.0
concurrency_static_train22_live1002,concurrency,static,1002,decrease_freshness,0,0.0
concurrency_static_train22_live1002,concurrency,static,1002,increase_freshness,0,0.0
concurrency_static_train33_live1003,concurrency,static,1003,hold,2586,1.0
concurrency_static_train33_live1003,concurrency,static,1003,increase_coverage,0,0.0
concurrency_static_train33_live1003,concurrency,static,1003,decrease_coverage,0,0.0
concurrency_static_train33_live1003,concurrency,static,1003,increase_sample,0,0.0
concurrency_static_train33_live1003,concurrency,static,1003,decrease_sample,0,0.0
concurrency_static_train33_live1003,concurrency,static,1003,decrease_freshness,0,0.0
concurrency_static_train33_live1003,concurrency,static,1003,increase_freshness,0,0.0
concurrency_static_train44_live1004,concurrency,static,1004,hold,2570,1.0
concurrency_static_train44_live1004,concurrency,static,1004,increase_coverage,0,0.0
concurrency_static_train44_live1004,concurrency,static,1004,decrease_coverage,0,0.0
concurrency_static_train44_live1004,concurrency,static,1004,increase_sample,0,0.0
concurrency_static_train44_live1004,concurrency,static,1004,decrease_sample,0,0.0
concurrency_static_train44_live1004,concurrency,static,1004,decrease_freshness,0,0.0
concurrency_static_train44_live1004,concurrency,static,1004,increase_freshness,0,0.0
concurrency_static_train55_live1005,concurrency,static,1005,hold,2565,1.0
concurrency_static_train55_live1005,concurrency,static,1005,increase_coverage,0,0.0
concurrency_static_train55_live1005,concurrency,static,1005,decrease_coverage,0,0.0
concurrency_static_train55_live1005,concurrency,static,1005,increase_sample,0,0.0
concurrency_static_train55_live1005,concurrency,static,1005,decrease_sample,0,0.0
concurrency_static_train55_live1005,concurrency,static,1005,decrease_freshness,0,0.0
concurrency_static_train55_live1005,concurrency,static,1005,increase_freshness,0,0.0
realistic_dqn_train11_live1001,realistic,dqn,1001,hold,757,0.6169519152404238
realistic_dqn_train11_live1001,realistic,dqn,1001,increase_coverage,137,0.11165444172779136
realistic_dqn_train11_live1001,realistic,dqn,1001,decrease_coverage,107,0.08720456397718011
realistic_dqn_train11_live1001,realistic,dqn,1001,increase_sample,112,0.09127954360228199
realistic_dqn_train11_live1001,realistic,dqn,1001,decrease_sample,89,0.07253463732681337
realistic_dqn_train11_live1001,realistic,dqn,1001,decrease_freshness,0,0.0
realistic_dqn_train11_live1001,realistic,dqn,1001,increase_freshness,25,0.020374898125509373
realistic_dqn_train22_live1002,realistic,dqn,1002,hold,1132,0.9278688524590164
realistic_dqn_train22_live1002,realistic,dqn,1002,increase_coverage,32,0.02622950819672131
realistic_dqn_train22_live1002,realistic,dqn,1002,decrease_coverage,0,0.0
realistic_dqn_train22_live1002,realistic,dqn,1002,increase_sample,30,0.02459016393442623
realistic_dqn_train22_live1002,realistic,dqn,1002,decrease_sample,0,0.0
realistic_dqn_train22_live1002,realistic,dqn,1002,decrease_freshness,0,0.0
realistic_dqn_train22_live1002,realistic,dqn,1002,increase_freshness,26,0.021311475409836064
realistic_dqn_train33_live1003,realistic,dqn,1003,hold,1035,0.7582417582417582
realistic_dqn_train33_live1003,realistic,dqn,1003,increase_coverage,24,0.017582417582417582
realistic_dqn_train33_live1003,realistic,dqn,1003,decrease_coverage,7,0.005128205128205128
realistic_dqn_train33_live1003,realistic,dqn,1003,increase_sample,141,0.10329670329670329
realistic_dqn_train33_live1003,realistic,dqn,1003,decrease_sample,107,0.07838827838827839
realistic_dqn_train33_live1003,realistic,dqn,1003,decrease_freshness,9,0.006593406593406593
realistic_dqn_train33_live1003,realistic,dqn,1003,increase_freshness,42,0.03076923076923077
realistic_dqn_train44_live1004,realistic,dqn,1004,hold,529,0.4727435210008937
realistic_dqn_train44_live1004,realistic,dqn,1004,increase_coverage,217,0.193923145665773
realistic_dqn_train44_live1004,realistic,dqn,1004,decrease_coverage,190,0.16979445933869527
realistic_dqn_train44_live1004,realistic,dqn,1004,increase_sample,86,0.07685433422698838
realistic_dqn_train44_live1004,realistic,dqn,1004,decrease_sample,65,0.0580875781948168
realistic_dqn_train44_live1004,realistic,dqn,1004,decrease_freshness,11,0.009830205540661306
realistic_dqn_train44_live1004,realistic,dqn,1004,increase_freshness,21,0.01876675603217158
realistic_dqn_train55_live1005,realistic,dqn,1005,hold,380,0.35348837209302325
realistic_dqn_train55_live1005,realistic,dqn,1005,increase_coverage,107,0.09953488372093024
realistic_dqn_train55_live1005,realistic,dqn,1005,decrease_coverage,80,0.07441860465116279
realistic_dqn_train55_live1005,realistic,dqn,1005,increase_sample,119,0.11069767441860465
realistic_dqn_train55_live1005,realistic,dqn,1005,decrease_sample,101,0.09395348837209302
realistic_dqn_train55_live1005,realistic,dqn,1005,decrease_freshness,146,0.13581395348837208
realistic_dqn_train55_live1005,realistic,dqn,1005,increase_freshness,142,0.13209302325581396
realistic_ppo_train11_live1001,realistic,ppo,1001,hold,809,0.6593317033414833
realistic_ppo_train11_live1001,realistic,ppo,1001,increase_coverage,24,0.019559902200488997
realistic_ppo_train11_live1001,realistic,ppo,1001,decrease_coverage,0,0.0
realistic_ppo_train11_live1001,realistic,ppo,1001,increase_sample,24,0.019559902200488997
realistic_ppo_train11_live1001,realistic,ppo,1001,decrease_sample,0,0.0
realistic_ppo_train11_live1001,realistic,ppo,1001,decrease_freshness,182,0.14832925835370822
realistic_ppo_train11_live1001,realistic,ppo,1001,increase_freshness,188,0.1532192339038305
realistic_ppo_train22_live1002,realistic,ppo,1002,hold,798,0.6540983606557377
realistic_ppo_train22_live1002,realistic,ppo,1002,increase_coverage,26,0.021311475409836064
realistic_ppo_train22_live1002,realistic,ppo,1002,decrease_coverage,0,0.0
realistic_ppo_train22_live1002,realistic,ppo,1002,increase_sample,24,0.019672131147540985
