run_id,scenario,variant,live_seed,minute,active_requests,queued_requests
concurrency_dqn_train22_live1002,concurrency,dqn,1002,9.0,8.0,4.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,9.5,8.0,4.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,10.0,8.0,5.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,10.5,8.0,5.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,11.0,8.0,6.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,11.5,8.0,7.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,12.0,8.0,7.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,12.5,8.0,8.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,13.0,8.0,8.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,13.5,8.0,9.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,14.0,8.0,9.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,14.5,8.0,10.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,15.0,8.0,11.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,15.5,8.0,11.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,16.0,8.0,12.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,16.5,8.0,12.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,17.0,8.0,13.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,17.5,8.0,14.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,18.0,8.0,14.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,18.5,8.0,15.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,19.0,8.0,15.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,19.5,8.0,16.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,20.0,8.0,16.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,20.5,8.0,17.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,21.0,8.0,17.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,21.5,8.0,18.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,22.0,8.0,18.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,22.5,8.0,19.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,23.0,8.0,20.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,23.5,8.0,20.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,24.0,8.0,21.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,24.5,8.0,21.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,25.0,8.0,22.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,25.5,8.0,23.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,26.0,8.0,23.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,26.5,8.0,24.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,27.0,8.0,24.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,27.5,8.0,25.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,28.0,8.0,26.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,28.5,8.0,26.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,29.0,8.0,27.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,29.5,8.0,27.0
concurrency_dqn_train22_live1002,concurrency,dqn,1002,30.0,8.0,28.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,0.0,1.0,0.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,0.5,1.0,0.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,1.0,2.0,0.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,1.5,2.0,0.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,2.0,3.0,0.0
concurrency_dqn_train33_live1003,concurrency,dqn,1003,2.5,3.0,0.0
