run_id,scenario,variant,training_seed,live_seed,submitted,initially_accepted,initially_queued,evaluated_requests,tail_censored_requests,decision_steps,reward_total,reward_per_step,mean_request_reward_per_step,slo_epochs,violated_epochs,violated_epoch_ratio,unique_violating_requests,unique_violation_ratio,violation_events,coverage_events,sample_events,freshness_events,cpu_events,memory_events,spatial_fidelity_mean,hotspot_recall_mean,sample_observation_ratio,freshness_observation_ratio,frozen_policy_evaluated_requests,error_records
realistic_ppo_train11_live1001,realistic,ppo,11,1001,10,10,0,10,0,1227,560.3021827709713,0.4566439957383639,0.4406220322817147,1227,768,0.6259168704156479,6,0.6,768,768,0,0,0,0,0.903480104183203,0.8569935490536259,0.9918500407497962,0.9918500407497962,10,0
realistic_ppo_train22_live1002,realistic,ppo,22,1002,10,10,0,10,0,1220,464.0363228586822,0.3803576416874447,0.3803233308003375,1220,679,0.5565573770491803,7,0.7,679,678,0,1,0,0,0.9082418514410886,0.8607832252867379,0.9918032786885246,0.9918032786885246,10,0
realistic_static_train22_live1002,realistic,static,22,1002,10,10,0,10,0,1213,288.0173092174017,0.2374421345568025,0.2352775075562597,1213,460,0.3792250618301731,4,0.4,460,460,0,0,0,0,0.872347029909698,0.8382562948206089,0.9917559769167352,0.9917559769167352,0,0
realistic_static_train33_live1003,realistic,static,33,1003,12,12,0,12,0,1365,328.69954332144914,0.2408055262428198,0.2396824284238815,1365,524,0.3838827838827839,5,0.4166666666666667,524,524,0,0,0,0,0.8721763919921223,0.8377400762305435,0.9912087912087912,0.9912087912087912,0,0
realistic_ppo_train33_live1003,realistic,ppo,33,1003,12,12,0,12,0,1366,607.0327284949859,0.4443870633199012,0.4236071532072418,1366,1086,0.7950219619326501,10,0.8333333333333334,1086,1086,0,0,0,0,0.8972656747041928,0.8318988531371684,0.9912152269399708,0.9912152269399708,12,0
realistic_ppo_train44_live1004,realistic,ppo,44,1004,10,10,0,9,1,1118,425.1928229164917,0.3803155840040175,0.3802279168636948,1118,627,0.5608228980322003,5,0.5555555555555556,627,627,0,0,0,0,0.8895647951744101,0.826543091965897,0.9919499105545616,0.9919499105545616,9,0
realistic_static_train44_live1004,realistic,static,44,1004,10,10,0,10,0,1120,261.651539649674,0.2336174461157801,0.2292380297103604,1120,435,0.3883928571428571,4,0.4,435,435,0,0,0,0,0.8680139164669375,0.8345942575572255,0.9910714285714286,0.9910714285714286,0,0
realistic_static_train55_live1005,realistic,static,55,1005,9,9,0,9,0,1075,250.7749120799278,0.2332789879813278,0.231107338512837,1075,442,0.4111627906976744,3,0.3333333333333333,442,442,0,0,0,0,0.8694746207909165,0.835259795546442,0.9916279069767442,0.9916279069767442,0,0
realistic_ppo_train55_live1005,realistic,ppo,55,1005,9,9,0,9,0,1074,414.1664182896836,0.3856298121877869,0.3979454820187227,1074,525,0.4888268156424581,5,0.5555555555555556,525,525,0,0,0,0,0.8912327947497835,0.8616482951958567,0.9916201117318436,0.9916201117318436,9,0
concurrency_dqn_train11_live1001,concurrency,dqn,11,1001,35,7,28,15,0,2821,-43.471955568075394,-0.0154101224984315,-0.0739947275718206,2821,881,0.3123006026231832,6,0.4,881,880,0,1,0,0,0.8710994471909331,0.8433623714747889,0.9946827366182204,0.9946827366182204,15,0
concurrency_dqn_train22_live1002,concurrency,dqn,22,1002,36,7,29,14,0,2605,685.8012912845267,0.2632634515487632,0.1014612228480725,2605,1367,0.5247600767754319,5,0.3571428571428571,1367,1367,0,0,0,0,0.8991371170573702,0.8556484698900231,0.9946257197696736,0.9946257197696736,14,0
concurrency_dqn_train33_live1003,concurrency,dqn,33,1003,37,8,29,15,0,2837,338.4177874681756,0.1192872003765158,0.0293058959639788,2837,1044,0.3679943602396898,4,0.2666666666666666,1044,1043,0,1,0,0,0.8961663046539892,0.839774604291919,0.9947127247092,0.9947127247092,14,0
concurrency_dqn_train44_live1004,concurrency,dqn,44,1004,36,9,27,17,0,3239,-222.54592267706508,-0.0687082194124932,-0.1056645321684783,3239,891,0.2750849027477616,5,0.2941176470588235,891,891,0,0,0,0,0.851003067734714,0.8636926103702489,0.9947514665020069,0.9947514665020069,17,0
concurrency_dqn_train55_live1005,concurrency,dqn,55,1005,36,7,29,14,0,2564,326.31794933263154,0.1272690910033664,0.0265253123937938,2564,1344,0.5241809672386896,6,0.4285714285714285,1344,1344,0,0,0,0,0.8859959479967614,0.8304582895380448,0.9945397815912635,0.9945397815912635,14,0
realistic_dqn_train11_live1001,realistic,dqn,11,1001,10,10,0,10,0,1227,662.2701534079755,0.5397474762901184,0.5213532762223316,1227,983,0.8011409942950285,8,0.8,983,983,0,0,0,0,0.9013217112922238,0.8500139840570607,0.9918500407497962,0.9918500407497962,10,0
realistic_dqn_train22_live1002,realistic,dqn,22,1002,10,10,0,10,0,1220,702.3084630460829,0.575662674627937,0.5719581903644051,1220,945,0.7745901639344263,8,0.8,945,945,0,0,0,0,0.9131789979884531,0.86119890235734,0.9918032786885246,0.9918032786885246,10,0
realistic_dqn_train33_live1003,realistic,dqn,33,1003,12,12,0,12,0,1365,651.0774663948339,0.4769798288606848,0.4734263431796194,1365,749,0.5487179487179488,7,0.5833333333333334,749,749,0,0,0,0,0.9118854910081212,0.851782643137826,0.9912087912087912,0.9912087912087912,12,0
realistic_dqn_train44_live1004,realistic,dqn,44,1004,10,10,0,9,1,1119,547.7484863334115,0.4894982004766859,0.4660265586476403,1119,793,0.7086684539767649,7,0.7777777777777778,793,793,0,0,0,0,0.8975300840322308,0.86239525575344,0.9919571045576407,0.9919571045576407,9,0
realistic_dqn_train55_live1005,realistic,dqn,55,1005,9,9,0,9,0,1075,433.56321849912246,0.4033146218596488,0.4008832729664471,1075,776,0.7218604651162791,7,0.7777777777777778,776,776,0,0,0,0,0.8993570642440634,0.8467251704111602,0.9916279069767442,0.9916279069767442,9,0
