run_id,scenario,variant,live_seed,minute,cumulative_reward
concurrency_dqn_train22_live1002,concurrency,dqn,1002,9.0,235.5558349325075
concurrency_dqn_train22_live1002,concurrency,dqn,1002,9.5,246.21893842407053
concurrency_dqn_train22_live1002,concurrency,dqn,1002,10.0,257.18402902934235
concurrency_dqn_train22_live1002,concurrency,dqn,1002,10.5,267.7312605804536
concurrency_dqn_train22_live1002,concurrency,dqn,1002,11.0,278.60922477050553
concurrency_dqn_train22_live1002,concurrency,dqn,1002,11.5,289.48982281461286
concurrency_dqn_train22_live1002,concurrency,dqn,1002,12.0,300.093187484994
concurrency_dqn_train22_live1002,concurrency,dqn,1002,12.5,310.77212945947605
concurrency_dqn_train22_live1002,concurrency,dqn,1002,13.0,321.5763805867708
concurrency_dqn_train22_live1002,concurrency,dqn,1002,13.5,332.4041934396049
concurrency_dqn_train22_live1002,concurrency,dqn,1002,14.0,342.78221785482606
concurrency_dqn_train22_live1002,concurrency,dqn,1002,14.5,353.4782147442631
concurrency_dqn_train22_live1002,concurrency,dqn,1002,15.0,363.87156268889606
concurrency_dqn_train22_live1002,concurrency,dqn,1002,15.5,374.49387592991275
concurrency_dqn_train22_live1002,concurrency,dqn,1002,16.0,385.5697595060397
concurrency_dqn_train22_live1002,concurrency,dqn,1002,16.5,396.39743206351443
concurrency_dqn_train22_live1002,concurrency,dqn,1002,17.0,406.8303388316769
concurrency_dqn_train22_live1002,concurrency,dqn,1002,17.5,417.7183848487137
concurrency_dqn_train22_live1002,concurrency,dqn,1002,18.0,428.0061151462877
concurrency_dqn_train22_live1002,concurrency,dqn,1002,18.5,438.65329105813186
concurrency_dqn_train22_live1002,concurrency,dqn,1002,19.0,449.5547763851374
concurrency_dqn_train22_live1002,concurrency,dqn,1002,19.5,460.63682837804225
concurrency_dqn_train22_live1002,concurrency,dqn,1002,20.0,471.4631369884562
concurrency_dqn_train22_live1002,concurrency,dqn,1002,20.5,482.57792243027427
concurrency_dqn_train22_live1002,concurrency,dqn,1002,21.0,493.4363892897256
concurrency_dqn_train22_live1002,concurrency,dqn,1002,21.5,504.0395086987545
concurrency_dqn_train22_live1002,concurrency,dqn,1002,22.0,514.4542684080933
concurrency_dqn_train22_live1002,concurrency,dqn,1002,22.5,525.0981377456958
concurrency_dqn_train22_live1002,concurrency,dqn,1002,23.0,535.9548797335425
concurrency_dqn_train22_live1002,concurrency,dqn,1002,23.5,546.3842276781755
concurrency_dqn_train22_live1002,concurrency,dqn,1002,24.0,557.4187374721744
concurrency_dqn_train22_live1002,concurrency,dqn,1002,24.5,568.3568399091705
concurrency_dqn_train22_live1002,concurrency,dqn,1002,25.0,578.7774819714507
concurrency_dqn_train22_live1002,concurrency,dqn,1002,25.5,589.5883041195405
concurrency_dqn_train22_live1002,concurrency,dqn,1002,26.0,600.736601848778
concurrency_dqn_train22_live1002,concurrency,dqn,1002,26.5,611.7710722124784
concurrency_dqn_train22_live1002,concurrency,dqn,1002,27.0,622.1507730982878
concurrency_dqn_train22_live1002,concurrency,dqn,1002,27.5,632.843266353544
concurrency_dqn_train22_live1002,concurrency,dqn,1002,28.0,643.6508327001851
concurrency_dqn_train22_live1002,concurrency,dqn,1002,28.5,654.0117688801121
concurrency_dqn_train22_live1002,concurrency,dqn,1002,29.0,664.9197752431974
concurrency_dqn_train22_live1002,concurrency,dqn,1002,29.5,675.6375562305903
concurrency_dqn_train22_live1002,concurrency,dqn,1002,30.0,686.562678110462
concurrency_dqn_train33_live1003,concurrency,dqn,1003,0.0,0.24180667281157467
concurrency_dqn_train33_live1003,concurrency,dqn,1003,0.5,2.269906828067149
concurrency_dqn_train33_live1003,concurrency,dqn,1003,1.0,5.769198213756115
concurrency_dqn_train33_live1003,concurrency,dqn,1003,1.5,10.586854768354797
concurrency_dqn_train33_live1003,concurrency,dqn,1003,2.0,16.078755629774633
concurrency_dqn_train33_live1003,concurrency,dqn,1003,2.5,23.682217452635424
concurrency_dqn_train33_live1003,concurrency,dqn,1003,3.0,32.82987520235902
concurrency_dqn_train33_live1003,concurrency,dqn,1003,3.5,43.44528815142279
concurrency_dqn_train33_live1003,concurrency,dqn,1003,4.0,56.66588696322842
concurrency_dqn_train33_live1003,concurrency,dqn,1003,4.5,71.7845012849211
concurrency_dqn_train33_live1003,concurrency,dqn,1003,5.0,88.4355569821543
concurrency_dqn_train33_live1003,concurrency,dqn,1003,5.5,106.95456271895162
concurrency_dqn_train33_live1003,concurrency,dqn,1003,6.0,124.23817582184226
concurrency_dqn_train33_live1003,concurrency,dqn,1003,6.5,139.55293391510887
concurrency_dqn_train33_live1003,concurrency,dqn,1003,7.0,146.89572570653107
concurrency_dqn_train33_live1003,concurrency,dqn,1003,7.5,162.4657867601303
concurrency_dqn_train33_live1003,concurrency,dqn,1003,8.0,174.18096183274062
concurrency_dqn_train33_live1003,concurrency,dqn,1003,8.5,178.3740667980063
concurrency_dqn_train33_live1003,concurrency,dqn,1003,9.0,181.56428370929873
concurrency_dqn_train33_live1003,concurrency,dqn,1003,9.5,183.91606947863355
concurrency_dqn_train33_live1003,concurrency,dqn,1003,10.0,190.3154537436094
concurrency_dqn_train33_live1003,concurrency,dqn,1003,10.5,199.1727660534908
concurrency_dqn_train33_live1003,concurrency,dqn,1003,11.0,203.63929815723614
concurrency_dqn_train33_live1003,concurrency,dqn,1003,11.5,207.11631863147173
concurrency_dqn_train33_live1003,concurrency,dqn,1003,12.0,210.45706376998115
concurrency_dqn_train33_live1003,concurrency,dqn,1003,12.5,213.773024594765
concurrency_dqn_train33_live1003,concurrency,dqn,1003,13.0,217.34958093155822
concurrency_dqn_train33_live1003,concurrency,dqn,1003,13.5,221.15489491334083
concurrency_dqn_train33_live1003,concurrency,dqn,1003,14.0,224.88841742128017
concurrency_dqn_train33_live1003,concurrency,dqn,1003,14.5,228.4186354106651
concurrency_dqn_train33_live1003,concurrency,dqn,1003,15.0,232.12052271151117
concurrency_dqn_train33_live1003,concurrency,dqn,1003,15.5,236.23683210068805
concurrency_dqn_train33_live1003,concurrency,dqn,1003,16.0,239.43851841566797
concurrency_dqn_train33_live1003,concurrency,dqn,1003,16.5,243.2039594256299
concurrency_dqn_train33_live1003,concurrency,dqn,1003,17.0,246.49725358374707
concurrency_dqn_train33_live1003,concurrency,dqn,1003,17.5,250.05409566496252
concurrency_dqn_train33_live1003,concurrency,dqn,1003,18.0,253.86785242059491
concurrency_dqn_train33_live1003,concurrency,dqn,1003,18.5,257.14444069635914
concurrency_dqn_train33_live1003,concurrency,dqn,1003,19.0,260.68462103887333
concurrency_dqn_train33_live1003,concurrency,dqn,1003,19.5,264.848946566272
concurrency_dqn_train33_live1003,concurrency,dqn,1003,20.0,268.6671905849839
concurrency_dqn_train33_live1003,concurrency,dqn,1003,20.5,272.3384086968907
concurrency_dqn_train33_live1003,concurrency,dqn,1003,21.0,276.19195313121645
concurrency_dqn_train33_live1003,concurrency,dqn,1003,21.5,280.0900752644734
concurrency_dqn_train33_live1003,concurrency,dqn,1003,22.0,283.324859618669
concurrency_dqn_train33_live1003,concurrency,dqn,1003,22.5,286.6950949532566
concurrency_dqn_train33_live1003,concurrency,dqn,1003,23.0,290.0461930329425
concurrency_dqn_train33_live1003,concurrency,dqn,1003,23.5,293.55075819379186
concurrency_dqn_train33_live1003,concurrency,dqn,1003,24.0,297.0486439468759
concurrency_dqn_train33_live1003,concurrency,dqn,1003,24.5,300.63067133789804
concurrency_dqn_train33_live1003,concurrency,dqn,1003,25.0,304.1137918050631
concurrency_dqn_train33_live1003,concurrency,dqn,1003,25.5,307.4018310612194
concurrency_dqn_train33_live1003,concurrency,dqn,1003,26.0,310.94013628376035
concurrency_dqn_train33_live1003,concurrency,dqn,1003,26.5,314.2004108340345
concurrency_dqn_train33_live1003,concurrency,dqn,1003,27.0,317.83974884809214
concurrency_dqn_train33_live1003,concurrency,dqn,1003,27.5,321.387479097064
concurrency_dqn_train33_live1003,concurrency,dqn,1003,28.0,325.011765387532
concurrency_dqn_train33_live1003,concurrency,dqn,1003,28.5,328.72025905356725
concurrency_dqn_train33_live1003,concurrency,dqn,1003,29.0,332.05237674109617
concurrency_dqn_train33_live1003,concurrency,dqn,1003,29.5,335.33453364431125
concurrency_dqn_train33_live1003,concurrency,dqn,1003,30.0,338.91291487990514
concurrency_dqn_train44_live1004,concurrency,dqn,1004,0.0,0.2357429193899783
concurrency_dqn_train44_live1004,concurrency,dqn,1004,0.5,2.5224380527721344
concurrency_dqn_train44_live1004,concurrency,dqn,1004,1.0,6.479119268627896
concurrency_dqn_train44_live1004,concurrency,dqn,1004,1.5,12.685654725738779
concurrency_dqn_train44_live1004,concurrency,dqn,1004,2.0,19.948860427084657
concurrency_dqn_train44_live1004,concurrency,dqn,1004,2.5,29.394927634084965
concurrency_dqn_train44_live1004,concurrency,dqn,1004,3.0,39.77344806887087
concurrency_dqn_train44_live1004,concurrency,dqn,1004,3.5,50.52080917431189
concurrency_dqn_train44_live1004,concurrency,dqn,1004,4.0,62.25821141462417
concurrency_dqn_train44_live1004,concurrency,dqn,1004,4.5,76.18152974068764
concurrency_dqn_train44_live1004,concurrency,dqn,1004,5.0,91.93340778640179
concurrency_dqn_train44_live1004,concurrency,dqn,1004,5.5,107.28683777386017
concurrency_dqn_train44_live1004,concurrency,dqn,1004,6.0,121.18649202729576
concurrency_dqn_train44_live1004,concurrency,dqn,1004,6.5,133.49579571286438
concurrency_dqn_train44_live1004,concurrency,dqn,1004,7.0,143.30940089062727
concurrency_dqn_train44_live1004,concurrency,dqn,1004,7.5,150.29870416952105
concurrency_dqn_train44_live1004,concurrency,dqn,1004,8.0,150.73805952190992
concurrency_dqn_train44_live1004,concurrency,dqn,1004,8.5,155.18286695279693
concurrency_dqn_train44_live1004,concurrency,dqn,1004,9.0,156.303793921086
concurrency_dqn_train44_live1004,concurrency,dqn,1004,9.5,154.22123065925487
concurrency_dqn_train44_live1004,concurrency,dqn,1004,10.0,153.7867304047886
concurrency_dqn_train44_live1004,concurrency,dqn,1004,10.5,157.16000050269741
concurrency_dqn_train44_live1004,concurrency,dqn,1004,11.0,160.17982767908822
concurrency_dqn_train44_live1004,concurrency,dqn,1004,11.5,163.10287700720775
concurrency_dqn_train44_live1004,concurrency,dqn,1004,12.0,163.46302552837057
concurrency_dqn_train44_live1004,concurrency,dqn,1004,12.5,157.81209887064674
concurrency_dqn_train44_live1004,concurrency,dqn,1004,13.0,156.28565274019624
concurrency_dqn_train44_live1004,concurrency,dqn,1004,13.5,153.92569822704107
concurrency_dqn_train44_live1004,concurrency,dqn,1004,14.0,147.38526878527645
concurrency_dqn_train44_live1004,concurrency,dqn,1004,14.5,137.0555987041818
concurrency_dqn_train44_live1004,concurrency,dqn,1004,15.0,126.47699475908269
concurrency_dqn_train44_live1004,concurrency,dqn,1004,15.5,115.72042466832761
concurrency_dqn_train44_live1004,concurrency,dqn,1004,16.0,104.9978203979356
concurrency_dqn_train44_live1004,concurrency,dqn,1004,16.5,94.42192687677037
concurrency_dqn_train44_live1004,concurrency,dqn,1004,17.0,83.42725801351496
concurrency_dqn_train44_live1004,concurrency,dqn,1004,17.5,72.68070365691204
concurrency_dqn_train44_live1004,concurrency,dqn,1004,18.0,61.63568185248013
concurrency_dqn_train44_live1004,concurrency,dqn,1004,18.5,50.528351224518794
concurrency_dqn_train44_live1004,concurrency,dqn,1004,19.0,39.48230000832217
concurrency_dqn_train44_live1004,concurrency,dqn,1004,19.5,28.68193875415879
concurrency_dqn_train44_live1004,concurrency,dqn,1004,20.0,17.924757608037325
concurrency_dqn_train44_live1004,concurrency,dqn,1004,20.5,6.7635460563623955
concurrency_dqn_train44_live1004,concurrency,dqn,1004,21.0,-4.385268570256505
concurrency_dqn_train44_live1004,concurrency,dqn,1004,21.5,-15.614401927115198
concurrency_dqn_train44_live1004,concurrency,dqn,1004,22.0,-27.5136803681942
concurrency_dqn_train44_live1004,concurrency,dqn,1004,22.5,-39.40601763280262
concurrency_dqn_train44_live1004,concurrency,dqn,1004,23.0,-51.08925591831169
concurrency_dqn_train44_live1004,concurrency,dqn,1004,23.5,-63.017122594684814
concurrency_dqn_train44_live1004,concurrency,dqn,1004,24.0,-74.94769515341093
